dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
orkut,8,sparse,73,124.46s,10517516884,2326713
orkut,8,sparse,74,17.2529s,766258107,13914154
orkut,8,sparse,75,13.5832s,332022566,12858658
orkut,8,sparse,76,8.77882s,232763274,10650562
orkut,8,sparse,77,8.46002s,250132390,9302433
orkut,8,sparse,78,11.5216s,465241707,10021065
orkut,8,sparse,79,34.1598s,7008744,40596692
orkut,8,sparse,80,6.84915s,21521647,7016952
orkut,8,sparse,81,18.8197s,292122423,8899177
orkut,8,sparse,82,6.79022s,41304099,2490727
orkut,8,sparse,83,32.6678s,58158904,21925610
orkut,8,sparse,84,8.41568s,279170972,5115000
orkut,8,sparse,85,34.0022s,4682498,23171998
orkut,8,sparse,86,57.5004s,50730079,701665286
orkut,8,sparse,87,6.35184s,7123295,2421834
orkut,8,sparse,88,13.8273s,690115599,15729330
orkut,8,sparse,89,39.3405s,52596401,211161759
orkut,8,sparse,90,7.01468s,56605573,2363318
orkut,8,sparse,91,33.8255s,228034967,24742566
orkut,8,sparse,92,97.2284s,6163576359,2356269
orkut,8,sparse,93,33.1301s,20232912,24823744
orkut,8,sparse,94,78.4534s,3797103790,760958
orkut,8,sparse,95,9.41452s,98833927,2377677
orkut,8,sparse,96,34.0384s,6030455,22480856
orkut,8,sparse,97,7.86377s,41239012,10615595
orkut,8,sparse,98,177.396s,6511010115,10960144
orkut,8,sparse,99,47.0097s,4673748521,2336208
orkut,8,sparse,100,6.49644s,43231350,2285445
