dataset,query_size,query_mode,query_index,enumerate_time,n_embeddings,n_intersections
youtube2007,6,sparse,70,0.783006s,10579110,7157023
youtube2007,6,sparse,71,28.2762s,61863268717,24916961
youtube2007,6,sparse,72,17.9482s,25379764460,143134180
youtube2007,6,sparse,73,111.984s,285611353720,89728841
youtube2007,6,sparse,74,1.48796s,1090885,41411320
youtube2007,6,sparse,75,1.4617s,462140,7830304
youtube2007,6,sparse,76,103.101s,387495864,3606162387
youtube2007,6,sparse,77,0.476312s,14149415,1816557
youtube2007,6,sparse,78,5.39566s,2970404,18401449
youtube2007,6,sparse,79,157.894s,350244584640,590438296
youtube2007,6,sparse,80,0.545332s,14823283,7284880
youtube2007,6,sparse,81,4.70561s,8585464264,11107966
youtube2007,6,sparse,82,45.6073s,37560027458,868786343
youtube2007,6,sparse,83,1.28599s,692210352,17865144
youtube2007,6,sparse,84,2.87181s,3992600,11458852
youtube2007,6,sparse,85,0.453409s,1106,84354
youtube2007,6,sparse,86,113.137s,285611353720,89728841
youtube2007,6,sparse,87,0.726127s,163932253,11485793
youtube2007,6,sparse,88,1.87373s,117626158,26377620
youtube2007,6,sparse,89,0.473378s,291,614344
youtube2007,6,sparse,90,4.49309s,185635010,70898690
youtube2007,6,sparse,91,25.4689s,44283734755,126485976
youtube2007,6,sparse,92,9.08073s,14781685494,18765469
youtube2007,6,sparse,93,111.579s,285611353720,89728841
youtube2007,6,sparse,94,0.489034s,33080335,1029332
youtube2007,6,sparse,95,7.71253s,10952776219,42712732
youtube2007,6,sparse,96,1.38583s,179865,888268
youtube2007,6,sparse,97,0.226581s,27290156,702490
youtube2007,6,sparse,98,0.498712s,17242416,1211038
youtube2007,6,sparse,99,1.45016s,15961233,9339564
youtube2007,6,sparse,100,156.487s,350244584640,590438296
