dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,sparse,74,0.335022,0.00081663,0.00330848,0.334792,1989878990,6 5 1 4 3 0 2 7 ,0.334792,200909.0
human,8,dense,15,0.00123713,0.000795021,0.00214437,0.00298894,0,4 0 2 7 6 1 3 5 ,0.000401186,396.0
human,8,dense,18,149.997,0.000852631,0.00580673,4765.45,241965450371,6 5 0 1 2 3 4 7 ,119.789,1691968456.0
human,8,sparse,2,
human,8,dense,59,136.088,0.00138931,0.00662067,2950.77,14795058895,7 0 1 2 3 4 5 6 ,72.4853,740125919.0
human,12,dense,6,0.302852,0.00115629,0.0037593,0.302694,8365405440,2 0 1 5 10 3 4 6 7 8 9 11 ,0.302694,89270.0
human,8,sparse,53,2.75457,0.00110761,0.0138171,26.0454,1013224592038,4 7 2 1 3 0 5 6 ,2.10438,8402795.0
human,8,dense,11,3.1184,0.00113582,0.00356138,24.9689,5273250577,4 1 0 2 3 5 6 7 ,1.25664,5653861.0
human,8,sparse,78,3.85669,0.000970015,0.0281894,110.697,32212075544266,0 2 1 5 6 4 7 3 ,0.891406,24991675.0
human,8,dense,3,0.342312,0.0008983,0.00200855,0.342188,6306706800,2 0 1 3 5 7 4 6 ,0.342188,175804.0
human,8,dense,95,0.00418163,0.00115059,0.00192797,0.00403613,2071842,5 4 1 0 6 7 2 3 ,0.00403613,1080.0
human,8,dense,93,0.180849,0.00143304,0.00174324,0.180688,1142121672,3 4 5 6 0 1 2 7 ,0.180688,78733.0
human,8,sparse,97,
human,12,dense,22,0.000888618,0.00103152,0.0034128,0.000763446,1202652,3 4 9 0 6 5 7 1 2 8 11 10 ,0.000763446,342.0
human,8,dense,38,0.00706087,0.00111391,0.00481485,0.0267864,0,3 0 6 1 2 4 5 7 ,0.000851335,5986.0
human,8,sparse,65,
human,8,sparse,92,0.0246288,0.00086815,0.00219463,0.0244391,3855060,0 6 2 3 5 1 4 7 ,0.0244391,13052.0
human,8,dense,24,313.578,0.00127766,0.00830803,9842.11,38562572660,0 7 2 1 3 4 5 6 ,88.6933,3051948185.0
human,8,sparse,71,2.73625,0.00120364,0.0537021,2.73602,3266813584887,7 3 2 0 5 1 4 6 ,2.73602,987782.0
human,8,sparse,25,155.593,0.00158591,0.0209878,3945.47,82990553280456,2 1 0 5 4 3 7 6 ,93.1871,370446725.0
human,8,sparse,100,0.248352,0.00118124,0.0104157,0.248144,64575102320,1 7 4 6 5 3 0 2 ,0.248144,133610.0
human,12,sparse,70,11.5019,0.0011493,0.00514496,11.5016,53153278080,0 4 3 6 10 2 11 5 1 9 8 7 ,11.5016,166425.0
human,8,sparse,52,2.12569,0.00103064,0.0124626,19.9314,1663708413966,6 5 3 2 4 0 1 7 ,0.895189,8005848.0
human,8,sparse,56,1.97897,0.00107811,0.0103254,7.5795,639553304295,4 0 1 2 3 6 5 7 ,0.673701,2474861.0
human,8,sparse,61,0.000996146,0.00108347,0.00164771,0.000811141,318435,3 2 7 0 1 6 5 4 ,0.000811141,270.0
human,8,sparse,68,5.99689,0.00121125,0.0147248,182.819,4640207560076,1 7 4 0 3 2 5 6 ,4.00199,26025990.0
human,12,sparse,1,0.0342635,0.000921976,0.00461019,0.0341337,220448604,0 6 7 1 5 2 3 4 10 8 11 9 ,0.0341337,20230.0
human,12,sparse,50,0.0421571,0.00152231,0.00453088,0.0420738,129595584,2 6 1 4 8 3 0 5 9 7 11 10 ,0.0420738,21864.0
human,8,dense,21,1.91479,0.000782732,0.00180914,1.91461,344150688,2 0 1 4 5 6 3 7 ,1.91461,1687.0
human,8,sparse,42,0.72762,0.00140348,0.00480685,0.727467,1753929210,2 5 4 3 6 1 0 7 ,0.727467,409426.0
human,8,sparse,59,0.423716,0.0011754,0.00727193,0.423538,1400719451782,7 0 6 4 1 2 3 5 ,0.423538,91110.0
human,8,dense,84,12.3697,0.00117921,0.00526672,382.214,193080825348,2 6 7 5 1 3 0 4 ,9.08058,66730175.0
human,8,dense,92,0.0557437,0.000947279,0.0022796,0.0555005,78624,2 7 1 3 4 0 5 6 ,0.0552344,58551.0
human,8,sparse,73,0.0850875,0.000997954,0.0018497,0.084918,24356919012,2 6 3 5 4 1 7 0 ,0.084918,36400.0
human,8,sparse,72,0.000245735,0.00109219,0.00159988,0.000135219,0,5 3 2 6 4 7 1 0 ,0.000135219,15.0
human,8,dense,5,44.8372,0.00115774,0.003868,442.39,236133137485,7 1 2 3 4 5 0 6 ,35.5829,95726396.0
human,8,dense,14,4.47939,0.000954732,0.00208468,46.6456,1899003419,4 6 3 0 1 2 5 7 ,3.54081,29661206.0
human,8,dense,32,204.149,0.00131198,0.00532593,6268.13,1865460502530,5 1 3 4 0 2 6 7 ,112.939,1004266014.0
human,16,dense,82,0.000649126,0.00136497,0.00677449,0.00051365,0,10 9 11 15 13 3 4 12 14 7 2 0 1 8 5 6 ,0.00051365,5.0
human,8,sparse,69,0.000956362,0.00118649,0.00120162,0.000763125,681995520,0 3 4 2 7 1 5 6 ,0.000763125,271.0
human,8,dense,81,29.5578,0.00143558,0.0043417,763.093,123536200610,1 7 5 6 0 2 3 4 ,12.6464,167686910.0
human,12,dense,4,0.512209,0.00107471,0.0040739,0.91204,896269400,3 9 7 11 4 1 8 0 5 6 2 10 ,0.212337,634293.0
human,8,dense,31,4.60355,0.00119266,0.0048683,85.3637,185098300171,0 2 1 3 4 5 6 7 ,1.24146,33281185.0
human,8,dense,6,0.00400109,0.00111684,0.00259335,0.00389865,330225,7 2 1 0 3 4 5 6 ,0.00389865,431.0
human,8,sparse,8,2.53844,0.000947072,0.00558642,11.7404,7035981381852,4 3 7 1 0 2 5 6 ,1.93227,2480110.0
human,16,dense,10,0.0213732,0.00123979,0.00752265,0.0211892,3614160,2 5 4 1 6 8 15 7 0 3 13 10 11 12 9 14 ,0.0211892,22464.0
human,8,sparse,20,1.47032,0.00155721,0.00839641,16.1881,16564338974479,0 7 6 3 5 4 2 1 ,0.22577,4013993.0
human,8,sparse,34,1.0582,0.00096094,0.0142202,1.05795,22142048608,7 1 0 2 5 3 4 6 ,1.05795,493004.0
human,8,dense,1,2.121,0.00124204,0.00284457,12.7015,4104560319,0 1 6 2 3 7 4 5 ,1.38692,3563326.0
human,8,sparse,94,91.7198,0.000776896,0.00249001,91.7196,12305634416,5 3 4 7 1 0 2 6 ,91.7196,133497.0
human,8,sparse,44,2.09392,0.00234951,0.0126721,14.805,316132611893,4 5 2 3 0 1 6 7 ,1.62219,2617578.0
human,8,dense,44,1.28301,0.00108486,0.00520127,16.8226,744152203,5 0 1 2 3 4 6 7 ,0.214357,6582262.0
human,8,sparse,83,
human,8,dense,26,2.69426,0.00126789,0.00286348,45.5763,22147186974,1 4 6 2 5 3 7 0 ,0.30599,13865758.0
human,12,sparse,22,0.0398821,0.00113551,0.0037855,0.0397144,1574769660,3 0 6 1 2 5 7 8 9 11 10 4 ,0.0397144,1541.0
human,8,sparse,46,175.061,0.000889292,0.0038461,175.06,23207184000,3 5 1 7 2 0 6 4 ,175.06,391094.0
human,8,dense,63,0.00515135,0.000631963,0.00291378,0.0173519,147,1 4 6 0 2 3 5 7 ,0.00354164,6523.0
human,8,sparse,96,
human,8,dense,20,394.774,0.00136389,0.00693617,12058.4,56916340083,0 7 2 3 1 4 5 6 ,196.999,3687122558.0
