dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,dense,58,1229.04,0.00108688,0.000382624,1229.04,24163956664,3 1 2 6 4 5 7 0 ,1229.04,334679218.0
human,8,dense,49,29.5336,0.00105051,0.000340664,29.5335,268903008,0 1 2 3 6 7 4 5 ,29.5335,28429344.0
human,8,dense,16,0.000600013,0.000953043,0.000364109,0.000533065,1080,5 2 7 1 0 3 4 6 ,0.000533065,550.0
human,12,dense,56,0.510782,0.00111193,0.000451742,0.510576,7514100,3 11 10 7 9 6 2 4 5 8 1 0 ,0.510576,414473.0
human,8,dense,15,50.8939,0.0008093,0.000393914,50.8937,154757235,4 0 2 7 6 1 3 5 ,50.8937,80348005.0
human,12,sparse,33,26.3265,0.00115937,0.00038392,26.3263,229378464,0 7 4 6 8 9 2 3 5 10 1 11 ,26.3263,39657778.0
human,8,sparse,63,
human,8,dense,80,
human,8,dense,13,
human,8,sparse,14,
human,8,sparse,54,1106.35,0.00110082,0.000348949,1106.35,22691566430,5 2 6 3 1 0 4 7 ,1106.35,229864912.0
human,12,dense,50,0.0238439,0.00105333,0.00047967,0.0237203,93150,1 7 4 11 0 3 6 5 9 10 2 8 ,0.0237203,48942.0
human,16,dense,46,0.142128,0.00108875,0.000561014,0.141989,116352,3 1 4 6 7 8 9 10 5 11 12 13 14 15 0 2 ,0.141989,418097.0
human,8,dense,18,
human,8,sparse,15,434.714,0.000994026,0.000678033,434.714,3919024200,4 6 1 5 7 3 0 2 ,434.714,737850371.0
human,8,sparse,64,
human,8,sparse,45,0.046892,0.00100223,0.000301438,0.0468184,235800,1 5 0 3 4 2 6 7 ,0.0468184,87128.0
human,12,sparse,63,5.38075,0.00106052,0.000405897,5.38054,48278168,0 8 9 1 5 4 2 10 7 11 6 3 ,5.38054,8291600.0
human,8,sparse,73,1265.69,0.00103049,0.000358591,1265.69,24356919012,2 6 3 5 4 1 7 0 ,1265.69,413358073.0
human,12,sparse,6,
human,8,sparse,49,81.9679,0.000866549,0.000380486,81.9677,1096452672,0 7 6 2 1 5 4 3 ,81.9677,102488233.0
human,12,dense,70,4.24175,0.000979072,0.000507373,4.24157,15993180,1 8 7 9 0 6 3 4 5 2 10 11 ,4.24157,8664111.0
human,8,sparse,69,51.762,0.0010046,0.000587787,51.7618,681995520,0 3 4 2 7 1 5 6 ,51.7618,18353334.0
human,8,dense,56,1198,0.000794316,0.000790475,1198,21500964608,1 0 2 3 4 5 6 7 ,1198,523425901.0
human,12,sparse,2,2.62483,0.00114199,0.000425346,2.62467,43740204,7 8 4 5 9 6 10 3 2 0 11 1 ,2.62467,1795680.0
human,8,sparse,1,
human,8,dense,1,706.209,0.00105471,0.000537525,706.209,4104560319,0 1 6 2 3 7 4 5 ,706.209,501657440.0
human,8,dense,42,35.7821,0.00117197,0.000669561,35.7818,51921828,2 5 6 7 1 0 3 4 ,35.7818,95456531.0
human,8,dense,55,238.315,0.000634553,0.000448207,238.315,344150688,2 0 1 4 5 6 3 7 ,238.315,1406089311.0
human,16,sparse,9,688.011,0.00131459,0.000570695,688.011,1421936640,3 4 1 2 12 0 5 9 8 11 10 7 13 6 14 15 ,688.011,1436727701.0
human,8,sparse,90,
human,8,sparse,48,22.4447,0.00110212,0.000674365,22.4445,285078962,0 6 1 2 7 4 5 3 ,22.4445,29757556.0
human,8,dense,11,1249.9,0.0012267,0.000401298,1249.9,5273250577,4 1 0 2 3 5 6 7 ,1249.9,1491395981.0
human,8,dense,84,
human,12,sparse,21,
human,8,dense,66,
human,8,sparse,37,
human,12,dense,94,56.7376,0.000896915,0.000442083,56.7375,693650100,1 9 10 11 0 4 5 6 7 8 2 3 ,56.7375,76005810.0
human,8,dense,30,270.732,0.00104562,0.000433229,270.732,955510248,1 7 0 5 2 3 4 6 ,270.732,383420376.0
human,8,dense,24,
human,8,sparse,77,
human,8,sparse,61,0.0213791,0.000934347,0.000310849,0.0212924,318435,3 2 7 0 1 6 5 4 ,0.0212924,23113.0
human,8,sparse,42,105.88,0.00107343,0.000633023,105.879,1753929210,2 5 4 3 6 1 0 7 ,105.879,56798459.0
human,12,dense,11,12.9396,0.0010244,0.000428261,12.9394,246673570,3 6 5 10 11 7 4 0 2 9 8 1 ,12.9394,4725267.0
human,8,sparse,34,1191.89,0.000860825,0.000736449,1191.89,22142048608,7 1 0 2 5 3 4 6 ,1191.89,473336587.0
human,8,dense,94,317.849,0.000899027,0.000511721,317.849,2429050893,4 3 5 6 7 2 0 1 ,317.849,481343195.0
human,8,dense,47,349.244,0.00141368,0.00131139,349.244,2496355726,2 1 3 0 4 5 6 7 ,349.244,490028638.0
human,8,dense,78,
human,16,sparse,46,466.899,0.00119047,0.000455465,466.899,2160126720,3 5 1 4 8 9 10 0 15 12 13 2 6 7 14 11 ,466.899,940682580.0
human,8,dense,10,
human,8,sparse,93,763.461,0.000921894,0.000498719,763.461,15114669918,4 3 6 7 0 5 1 2 ,763.461,219826990.0
human,8,dense,32,
