dataset,query_size,query_mode,query_index,elapsed_execution_time,filter_time,plan_time,enumerate_time,n_embeddings,order,max_task_time,n_intersections
human,8,sparse,1,0.851072,0.000327387,0.000973586,0.850947,96433430217,0 3 1 5 2 7 4 6 ,0.850947,456015.0
youtube2007,16,sparse,39,2.20842,0.00101262,0.00476666,2.20829,2682720,6 14 5 10 8 15 11 12 13 3 9 1 0 4 2 7 ,2.20829,3107410.0
youtube2007,16,sparse,5,163.375,0.00534325,0.00458701,163.375,2727018232,6 8 10 9 13 12 14 11 15 3 1 5 2 7 0 4 ,163.375,193228844.0
human,8,dense,84,300.845,0.000303139,0.000953627,300.845,772323301392,2 1 3 0 6 7 5 4 ,300.845,112553695.0
human,8,dense,46,177.702,6.6614e-05,0.00105476,177.702,23207184000,0 1 5 7 2 3 4 6 ,177.702,147889.0
human,8,dense,88,0.0372838,0.000181687,0.000850657,0.0371828,1010682,1 2 3 5 4 6 7 0 ,0.0371828,52720.0
youtube2007,8,dense,68,1.21288,0.00502517,0.000900512,1.21269,9340899,1 4 0 5 7 2 6 3 ,1.21269,1719895.0
human,8,sparse,88,0.0127997,0.000114102,0.00100588,0.012745,14334372,3 2 6 4 5 1 7 0 ,0.012745,8597.0
human,8,dense,54,14.608,0.000447563,0.00100316,14.6079,21461382692,0 1 2 3 4 5 6 7 ,14.6079,5455066.0
youtube2007,8,sparse,51,602.503,0.0021532,0.000868209,602.503,80147648530,5 2 4 1 3 6 7 0 ,602.503,1242151652.0
youtube2007,16,dense,43,0.105,0.000911854,0.00390426,0.104835,111600,2 7 5 3 6 10 11 1 9 12 8 4 0 13 15 14 ,0.104835,194694.0
human,8,dense,14,492.038,0.00032127,0.00127702,492.038,22788041028,5 6 0 1 2 3 4 7 ,492.038,261156205.0
human,8,sparse,44,13.551,0.000403673,0.000794521,13.5509,316132611893,0 1 4 2 3 5 7 6 ,13.5509,7568898.0
youtube2007,8,sparse,25,130.303,0.000479976,0.00100669,130.303,3847241262,4 6 1 2 7 3 0 5 ,130.303,256128218.0
human,8,sparse,67,0.0167325,0.000129591,0.000766397,0.0166289,2463834624,5 2 3 1 0 6 4 7 ,0.0166289,7067.0
youtube2007,8,sparse,54,0.825945,0.00226973,0.000983078,0.825752,175996,4 0 3 5 7 1 2 6 ,0.825752,1025306.0
human,12,sparse,35,0.384259,0.0009754,0.0022367,0.384083,737935099404,0 2 3 7 4 1 5 6 9 10 8 11 ,0.384083,517649.0
youtube2007,8,sparse,50,669.152,0.0073347,0.000862146,669.152,94818531136,2 4 5 6 7 3 0 1 ,669.152,508143360.0
youtube2007,16,dense,53,0.330597,0.00114667,0.00392943,0.330422,1920,5 7 10 11 6 8 12 13 9 15 14 0 2 1 4 3 ,0.330422,508874.0
youtube2007,8,sparse,58,0.164284,0.000665627,0.000693647,0.164187,618334,6 3 7 0 2 4 5 1 ,0.164187,284837.0
human,12,sparse,70,10.3025,0.000777255,0.00190684,10.3024,53153278080,0 1 3 10 11 4 5 2 6 9 7 8 ,10.3024,26605017.0
human,8,dense,29,28.3955,0.000372158,0.000925557,28.3954,2643175850040,0 1 2 3 4 5 6 7 ,28.3954,15255427.0
youtube2007,8,sparse,94,0.445355,0.00702517,0.00111711,0.445149,12298296,3 5 4 6 7 0 1 2 ,0.445149,731212.0
human,16,sparse,85,0.024069,0.000234166,0.00327595,0.0239576,109742850000,3 1 6 2 4 5 9 11 12 8 0 7 10 13 14 15 ,0.0239576,24481.0
human,8,dense,93,0.632583,0.000335424,0.000970853,0.632454,9136973376,3 4 5 6 0 1 2 7 ,0.632454,252197.0
